Year,Age,Characteristic,Estimate,MeasurementLabel,CrimeCategory
2024,55-64,Yorkshire and The Humber,10.82%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,9.2%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.61%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,14.56%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,12.66%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,16.46%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,10.8%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,16.95%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,16.1%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,9.89%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,1.05%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,13.63%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16+,Yorkshire and The Humber,11.89%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,25-34,Yorkshire and The Humber,21.87%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,35-44,Yorkshire and The Humber,15.51%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,45-54,Yorkshire and The Humber,17.7%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,55-64,Yorkshire and The Humber,5.4%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,65-74,Yorkshire and The Humber,8.44%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,75+,Yorkshire and The Humber,2.09%,Perceived problem with teenagers hanging around in the local area,anti-social-behaviour
2024,16-24,Yorkshire and The Humber,30.8%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,12.61%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,12.73%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,15.16%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,14.51%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,6.17%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,7.8%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,3.08%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16-24,Yorkshire and The Humber,37.74%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,14.13%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,18.82%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,9.94%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,16.04%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,7.11%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,10.41%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,5.64%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16-24,Yorkshire and The Humber,25.66%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,16+,Yorkshire and The Humber,11.01%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,25-34,Yorkshire and The Humber,5.88%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,35-44,Yorkshire and The Humber,21.95%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,45-54,Yorkshire and The Humber,12.68%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,55-64,Yorkshire and The Humber,5.21%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,65-74,Yorkshire and The Humber,4.89%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
2024,75+,Yorkshire and The Humber,0.88%,Perceived problem with vandalism and graffiti in the local area,criminal-damage-arson
