MeasurementVar,MeasurementLabel,MeasurementLevel,MeasurementType,CrimeCategory
patt6b,Police in this area can be trusted,Person,Perception,
patt7,Taking everything into account I have confidence in the police in this area,Person,Perception,
pcfc_i,All personal crime including fraud,Person,Incidence rate,other-crime
pcfc_p,All personal crime including fraud,Person,Prevalence rate,other-crime
ratpol3,Police in the local area are doing a good or excellent job,Person,Perception,
robber_i,Robbery,Person,Incidence rate,robbery
robber_p,Robbery,Person,Prevalence rate,robbery
rubb1,Perceived problem with litter or rubbish in the local area,Person,Perception,anti-social-behaviour
snatch_i,Snatch theft,Person,Incidence rate,theft-from-the-person
snatch_p,Snatch theft,Person,Prevalence rate,theft-from-the-person
snstla_i,Attempted snatch and stealth theft,Person,Incidence rate,theft-from-the-person
snstla_p,Attempted snatch and stealth theft,Person,Prevalence rate,theft-from-the-person
stlhea_i,Stealth theft,Person,Incidence rate,theft-from-the-person
stlhea_p,Stealth theft,Person,Prevalence rate,theft-from-the-person
strang_i,Stranger violence,Person,Incidence rate,violent-crime
strang_p,Stranger violence,Person,Prevalence rate,violent-crime
teen1,Perceived problem with teenagers hanging around in the local area,Person,Perception,anti-social-behaviour
theftf_i,Theft from a motor vehicle,Household,Incidence rate,vehicle-crime
theftf_p,Theft from a motor vehicle,Household,Prevalence rate,vehicle-crime
thefto_i,Theft of a motor vehicle,Household,Incidence rate,vehicle-crime
thefto_p,Theft of a motor vehicle,Household,Prevalence rate,vehicle-crime
theftp_i,Theft from the person,Person,Incidence rate,theft-from-the-person
theftp_p,Theft from the person,Person,Prevalence rate,theft-from-the-person
thftdm_i,Theft from a dwelling and meter,Household,Incidence rate,other-theft
thftdm_p,Theft from a dwelling and meter,Household,Prevalence rate,other-theft
thfthh_i,All household theft,Household,Incidence rate,other-theft
thfthh_p,All household theft,Household,Prevalence rate,other-theft
thftod_i,Theft from outside dwelling,Household,Incidence rate,other-theft
thftod_p,Theft from outside dwelling,Household,Prevalence rate,other-theft
thftpl_i,All personal theft,Person,Incidence rate,other-crime
thftpl_p,All personal theft,Person,Prevalence rate,other-crime
tocrfc_p,Total CSEW crime including fraud,Person,Prevalence rate,other-crime
totalb_p,Total CSEW crime,Person,Prevalence rate,other-crime
totalh_i,All household crime,Household,Incidence rate,other-crime
totalh_p,All household crime,Household,Prevalence rate,other-crime
totper_i,All personal crime,Person,Incidence rate,other-crime
totper_p,All personal crime,Person,Prevalence rate,other-crime
vandal_i,Criminal damage  ,Household,Incidence rate,criminal-damage-arson
vandal_p,Criminal damage  ,Household,Prevalence rate,criminal-damage-arson
vandals1,Perceived problem with vandalism and graffiti in the local area,Person,Perception,criminal-damage-arson
vininr_i,Violence without injury,Person,Incidence rate,violent-crime
vininr_p,Violence without injury,Person,Prevalence rate,violent-crime
violnr_i,All violence,Person,Incidence rate,violent-crime
violnr_p,All violence,Person,Prevalence rate,violent-crime
virs_i,Computer virus,Person,Incidence rate,other-crime
virs_p,Computer virus,Person,Prevalence rate,other-crime
viwinr_i,Violence with injury,Person,Incidence rate,violent-crime
viwinr_p,Violence with injury,Person,Prevalence rate,violent-crime
wound_i,Wounding,Person,Incidence rate,violent-crime
wound_p,Wounding,Person,Prevalence rate,violent-crime
